module,model_or_inherit,class_name,field_name,field_type,source_file
tz_api_gateway,tz.lead.config,TzLeadConfig,name,Char,addons/tz_api_gateway/models/lead_source_config.py
tz_api_gateway,tz.lead.config,TzLeadConfig,company_id,Many2one,addons/tz_api_gateway/models/lead_source_config.py
tz_api_gateway,tz.lead.config,TzLeadConfig,active,Boolean,addons/tz_api_gateway/models/lead_source_config.py
tz_api_gateway,tz.lead.config,TzLeadConfig,default_supervisor_id,Many2one,addons/tz_api_gateway/models/lead_source_config.py
tz_api_gateway,tz.lead.config,TzLeadConfig,default_agent_id,Many2one,addons/tz_api_gateway/models/lead_source_config.py
tz_api_gateway,tz.lead.config,TzLeadConfig,supervisor_display_name,Char,addons/tz_api_gateway/models/lead_source_config.py
tz_api_gateway,tz.lead.config,TzLeadConfig,agent_display_name,Char,addons/tz_api_gateway/models/lead_source_config.py
tz_api_gateway,tz.lead.config,TzLeadConfig,integration_ids,One2many,addons/tz_api_gateway/models/lead_source_config.py
tz_api_gateway,tz.lead.config,TzLeadConfig,notes,Text,addons/tz_api_gateway/models/lead_source_config.py
tz_api_gateway,tz.lead.integration,TzLeadIntegration,lead_config_id,Many2one,addons/tz_api_gateway/models/lead_source_config.py
tz_api_gateway,tz.lead.integration,TzLeadIntegration,company_id,Many2one,addons/tz_api_gateway/models/lead_source_config.py
tz_api_gateway,tz.lead.integration,TzLeadIntegration,active,Boolean,addons/tz_api_gateway/models/lead_source_config.py
tz_api_gateway,tz.lead.integration,TzLeadIntegration,name,Char,addons/tz_api_gateway/models/lead_source_config.py
tz_api_gateway,tz.lead.integration,TzLeadIntegration,source_type,Selection,addons/tz_api_gateway/models/lead_source_config.py
tz_api_gateway,tz.lead.integration,TzLeadIntegration,integration_code,Char,addons/tz_api_gateway/models/lead_source_config.py
tz_api_gateway,tz.lead.integration,TzLeadIntegration,api_key,Char,addons/tz_api_gateway/models/lead_source_config.py
tz_api_gateway,tz.lead.integration,TzLeadIntegration,website_domain,Char,addons/tz_api_gateway/models/lead_source_config.py
tz_api_gateway,tz.lead.integration,TzLeadIntegration,meta_page_id,Char,addons/tz_api_gateway/models/lead_source_config.py
tz_api_gateway,tz.lead.integration,TzLeadIntegration,meta_page_name,Char,addons/tz_api_gateway/models/lead_source_config.py
tz_api_gateway,tz.lead.integration,TzLeadIntegration,meta_campaign_id,Char,addons/tz_api_gateway/models/lead_source_config.py
tz_api_gateway,tz.lead.integration,TzLeadIntegration,meta_campaign_name,Char,addons/tz_api_gateway/models/lead_source_config.py
tz_api_gateway,tz.lead.integration,TzLeadIntegration,whatsapp_phone_number_id,Char,addons/tz_api_gateway/models/lead_source_config.py
tz_api_gateway,tz.lead.integration,TzLeadIntegration,whatsapp_business_account_id,Char,addons/tz_api_gateway/models/lead_source_config.py
tz_api_gateway,tz.lead.integration,TzLeadIntegration,notes,Text,addons/tz_api_gateway/models/lead_source_config.py
tz_api_gateway,tz.lead.routing.rule,TzLeadRoutingRule,name,Char,addons/tz_api_gateway/models/lead_routing_rule.py
tz_api_gateway,tz.lead.routing.rule,TzLeadRoutingRule,active,Boolean,addons/tz_api_gateway/models/lead_routing_rule.py
tz_api_gateway,tz.lead.routing.rule,TzLeadRoutingRule,company_id,Many2one,addons/tz_api_gateway/models/lead_routing_rule.py
tz_api_gateway,tz.lead.routing.rule,TzLeadRoutingRule,priority,Integer,addons/tz_api_gateway/models/lead_routing_rule.py
tz_api_gateway,tz.lead.routing.rule,TzLeadRoutingRule,allowed_source_ids,Many2many,addons/tz_api_gateway/models/lead_routing_rule.py
tz_api_gateway,tz.lead.routing.rule,TzLeadRoutingRule,property_type_ids,Many2many,addons/tz_api_gateway/models/lead_routing_rule.py
tz_api_gateway,tz.lead.routing.rule,TzLeadRoutingRule,lead_temperature_ids,Many2many,addons/tz_api_gateway/models/lead_routing_rule.py
tz_api_gateway,tz.lead.routing.rule,TzLeadRoutingRule,preferred_location,Char,addons/tz_api_gateway/models/lead_routing_rule.py
tz_api_gateway,tz.lead.routing.rule,TzLeadRoutingRule,budget_min,Float,addons/tz_api_gateway/models/lead_routing_rule.py
tz_api_gateway,tz.lead.routing.rule,TzLeadRoutingRule,budget_max,Float,addons/tz_api_gateway/models/lead_routing_rule.py
tz_api_gateway,tz.lead.routing.rule,TzLeadRoutingRule,assign_supervisor_id,Many2one,addons/tz_api_gateway/models/lead_routing_rule.py
tz_api_gateway,tz.lead.routing.rule,TzLeadRoutingRule,assign_team_id,Many2one,addons/tz_api_gateway/models/lead_routing_rule.py
tz_api_gateway,tz.lead.routing.rule,TzLeadRoutingRule,assign_agent_id,Many2one,addons/tz_api_gateway/models/lead_routing_rule.py
tz_api_gateway,tz.lead.routing.rule,TzLeadRoutingRule,supervisor_display_name,Char,addons/tz_api_gateway/models/lead_routing_rule.py
tz_api_gateway,tz.lead.routing.rule,TzLeadRoutingRule,agent_display_name,Char,addons/tz_api_gateway/models/lead_routing_rule.py
tz_api_gateway,tz.lead.routing.rule,TzLeadRoutingRule,notes,Text,addons/tz_api_gateway/models/lead_routing_rule.py
tz_api_gateway,tz.property.type,TzPropertyType,name,Char,addons/tz_api_gateway/models/master_data.py
